Designator,Mid X,Mid Y,Rotation,Layer
J1,152.4,-90.932,90.0,top
J10,148.09,-111.252,270.0,top
J11,145.034,-108.966,180.0,top
J12,142.748,-104.648,180.0,top
J13,142.748,-101.608,180.0,top
J14,143.256,-97.544,180.0,top
J15,146.05,-94.742,90.0,top
J16,149.36,-92.964,90.0,top
J2,155.194,-92.456,0.0,top
J3,158.496,-94.234,0.0,top
J4,161.544,-97.274,0.0,top
J5,162.052,-101.346,0.0,top
J6,161.544,-104.648,0.0,top
J7,159.258,-108.712,0.0,top
J8,155.956,-110.752,0.0,top
J9,152.4,-110.744,270.0,top
